object_name,object_type,collection,collections,parent,parent_type,parent_bone,location,rotation_mode,rotation_euler_radians,rotation_quaternion,scale,dimensions,material_names,custom_properties,instance_id
AREA_2F_CLASS202,MESH,Areas,"[""Areas""]",,,,"[360.0,835.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],{},
AREA_2F_CLASS203,MESH,Areas,"[""Areas""]",,,,"[360.0,1240.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],{},
AREA_2F_CLASS204,MESH,Areas,"[""Areas""]",,,,"[360.0,1640.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],{},
AREA_2F_ELEVATOR,MESH,Areas,"[""Areas""]",,,,"[1010.0,800.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[80.0,100.0,70.0]","[160.0,200.0,140.0]",[],{},
AREA_2F_GALLERY,MESH,Areas,"[""Areas""]",,,,"[1000.0,400.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[500.0,100.0,70.0]","[1000.0,200.0,140.0]",[],{},
AREA_2F_LADYSROOM,MESH,Areas,"[""Areas""]",,,,"[295.0,2103.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[63.46648025512695,118.0,70.0]","[126.9329605102539,236.0,140.0]",[],{},
AREA_2F_MEETINGROOM,MESH,Areas,"[""Areas""]",,,,"[1630.0,500.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[130.0,260.0,70.0]","[260.0,520.0,140.0]",[],{},
AREA_2F_MENSROOM,MESH,Areas,"[""Areas""]",,,,"[427.0,2103.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[63.46648025512695,118.0,70.0]","[126.9329605102539,236.0,140.0]",[],{},
AREA_2F_OFFICE,MESH,Areas,"[""Areas""]",,,,"[1320.0,2010.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[175.0,300.0,70.0]","[350.0,600.0,140.0]",[],{},
AREA_STAIR01,MESH,Areas,"[""Areas""]",,,,"[1600.0,1370.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[100.0,60.0,70.0]","[200.0,120.0,140.0]",[],{},
AREA_STAIR02,MESH,Areas,"[""Areas""]",,,,"[575.0,2070.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[70.0,90.0,70.0]","[140.0,180.0,140.0]",[],{},
Accoudoir,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.001,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.001,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.002""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.002,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.002,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.003""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.003,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.003,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61417770385742,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.004""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.004,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.004,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61417770385742,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.005""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.005,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.005,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.006""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.006,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.006,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.007""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.007,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.007,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.008""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.008,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.008,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.009""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.009,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.009,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.010""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.010,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.010,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.011""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.011,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.011,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61417770385742,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.012""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.012,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.012,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61417770385742,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.013""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.013,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.013,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.014""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.014,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.014,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.015""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Accoudoir.015,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.015,OBJECT,,"[0.26176396012306213,-0.05890941619873047,0.43331289291381836]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[35.61440658569336,21.935470581054688,16.7032527923584]","[""Siège théatre - Velvet.016""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Armature,ARMATURE,Rigged box model,"[""Rigged box model""]",Rigged box model,OBJECT,,"[-1.9041692667087773e-09,-4.340607873132285e-09,0.0]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[33.88187026977539,33.875755310058594,18.49481964111328]",[],"{""projectile_props"":{}}",
Arrow,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.01995038613677025,-0.03043244406580925,0.6442301869392395]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.0046516358852386475,0.0008337181061506271,0.00928187370300293]","[""Arrow""]",{},
Arrow.001,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.01995038613677025,-0.03043244406580925,0.6442301869392395]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.0046516358852386475,0.0008337181061506271,0.00928187370300293]","[""Arrow""]",{},
Arrow.002,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.01995038613677025,-0.03043244406580925,0.6442301869392395]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.0046516358852386475,0.0008337181061506271,0.00928187370300293]","[""Arrow""]",{},
Assise,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.001,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.001,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.002""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.002,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.002,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.003""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.003,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.003,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.004""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.004,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.004,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.005""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.005,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.005,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.006""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.006,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.006,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.007""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.007,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.007,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.008""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.008,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.008,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.009""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.009,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.009,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.010""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.010,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.010,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.011""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.011,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.011,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.012""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.012,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.012,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.013""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.013,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.013,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.014""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.014,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.014,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.015""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Assise.015,MESH,Theatre Chair,"[""Theatre Chair""]",Theatre Chair.015,OBJECT,,"[0.0,-0.21437279880046844,0.3049812316894531]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[26.72646713256836,30.443408966064453,12.571383476257324]","[""Siège théatre - Velvet.016""]","{""ant_landscape"":{},""cycles"":{},""graswald"":{}}",
Back,MESH,Framed Vintage Cows Poster,"[""Framed Vintage Cows Poster""]",Framed Vintage Cows Poster,OBJECT,,"[-4.350140571594238,0.061435848474502563,3.340303421020508]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.8039553165435791,1.010037899017334,3.5707455481315264e-07]","[""Cardboard.001""]","{""MM"":{},""baking_queue"":{""bpe_prop_settings"":{}},""blenderkit"":{""name"":""Back.001"",""name_old"":""Back.001""},""cycles"":{},""sanctus_decal_settings"":{},""scatter5"":{}}",
Belt,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.04581490531563759,-0.023646874353289604,0.3948591947555542]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.2133704423904419,0.2275879681110382,0.020603179931640625]","[""Belt_Leather"",""Belt_Leather.001""]","{""cycles"":{}}",
Belt.001,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.04581490531563759,-0.023646874353289604,0.3948591947555542]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.2133704423904419,0.2275879681110382,0.020603179931640625]","[""Belt_Leather"",""Belt_Leather.001""]","{""cycles"":{}}",
Belt.002,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.04581490531563759,-0.023646874353289604,0.3948591947555542]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.2133704423904419,0.2275879681110382,0.020603179931640625]","[""Belt_Leather"",""Belt_Leather.001""]","{""cycles"":{}}",
BezierCircle,CURVE,HAPPY BIRTHDAY! garland,"[""HAPPY BIRTHDAY! garland""]",BezierCurve,OBJECT,,"[1.2954528331756592,0.0,0.0]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[124.80781555175781,29.20284080505371,0.022055502980947495]","[""Banner Color""]","{""cycles"":{}}",
BezierCurve,CURVE,HAPPY BIRTHDAY! garland,"[""HAPPY BIRTHDAY! garland""]",HAPPY BIRTHDAY! garland,OBJECT,,"[0.0,0.0,0.0]",XYZ,"[4.1326416067022365e-07,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[0.27450108528137207,0.27450108528137207,0.27450108528137207]","[131.76052856445312,20.780506134033203,0.10988573729991913]",[],"{""cycles"":{}}",
Body,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.017523236572742462,0.007504001259803772,0.32191982865333557]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.21536821126937866,0.21536821126937866,0.5999563932418823]","[""Body""]","{""cycles"":{}}",
Body.001,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.017523236572742462,0.007504001259803772,0.32191982865333557]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.21536821126937866,0.21536821126937866,0.5999563932418823]","[""Body""]","{""cycles"":{}}",
Body.002,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.017523236572742462,0.007504001259803772,0.32191982865333557]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.21536821126937866,0.21536821126937866,0.5999563932418823]","[""Body""]","{""cycles"":{}}",
Bolt.001,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[0.08475445955991745,-0.040882859379053116,0.2982806861400604]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.00988248735666275,0.017943628132343292,0.006591320037841797]","[""Metal_Light.bolt""]",{},
Bolt.002,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.014257915318012238,0.01272235531359911,0.6745928525924683]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.01554565504193306,0.05149918794631958,0.06857699155807495]","[""Metal_Light.bolt"",""Bolt""]",{},
Bolt.003,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.010494411922991276,0.12327366322278976,0.21007080376148224]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.009400916285812855,0.0034211650490760803,0.02527584135532379]","[""Metal_Light.bolt""]",{},
Bolt.004,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.010494410060346127,0.12327366322278976,0.3946703374385834]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.005703362170606852,0.0020755454897880554,0.02663859724998474]","[""Metal_Light.bolt""]",{},
Bolt.005,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.010494410060346127,0.12327366322278976,0.3946703374385834]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.005703362170606852,0.0020755454897880554,0.02663859724998474]","[""Metal_Light.bolt""]",{},
Bolt.006,MESH,Myanmar-student low poly Character,"[""Myanmar-student low poly Character""]",,,,"[-0.014257915318012238,0.01272235531359911,0.6745928525924683]",XYZ,"[0.0,-0.0,0.0]","[1.0,0.0,0.0,0.0]","[1.0,1.0,1.0]","[0.01554565504193306,0.05149918794631958,0.06857699155807495]","[""Metal_Light.bolt"",""Bolt""]",{},
